"","SASID","Grade","City","Postal Code","Assignment Type","Growth Proficiency Category","SGP (Expectation=50)","Test 1 Benchmark Category","Test 2 Benchmark Category","Test 1 PR","Test 2 PR","IEP","TS Placement"
"274",1070259636,8,"Barnstable","02601","Star Math","Low Growth, Low Proficiency",46,"Urgent Intervention","Urgent Intervention",5,7,1,"Learning Specialist"
"275",1016248724,8,"Plymouth","02360","Star Math","Low Growth, High Proficiency",35,"At/Above Benchmark","At/Above Benchmark",61,57,0,"Gen Ed"
"276",1085248721,8,"Plymouth","02360","Star Math","Low Growth, Low Proficiency",21,"On Watch","On Watch",37,27,0,"Tier 1 ELA Gen Ed"
"277",1083249720,8,"Plymouth","02360","Star Math","Low Growth, High Proficiency",47,"At/Above Benchmark","At/Above Benchmark",48,54,0,"Tier 1 Math Gen Ed"
"278",1082110836,8,"Plymouth","02360","Star Math","Low Growth, Low Proficiency",10,"At/Above Benchmark","Intervention",43,23,1,"Learning Specialist"
"279",1072529730,8,"Plymouth","02360","Star Math","High Growth, High Proficiency",56,"At/Above Benchmark","At/Above Benchmark",49,55,0,"Tier 1 Math Gen Ed"
"280",1082223145,8,"Plymouth","02360","Star Math","Low Growth, Low Proficiency",29,"At/Above Benchmark","On Watch",45,39,0,"Tier 1 Math Gen Ed"
"281",1052529737,8,"Plymouth","02360","Star Math","Low Growth, High Proficiency",15,"At/Above Benchmark","At/Above Benchmark",81,66,0,"Gen Ed"
"282",1074325432,8,"Plymouth","02360","Star Math","Low Growth, Low Proficiency",16,"At/Above Benchmark","On Watch",53,39,0,"Tier 1 ELA Gen Ed"
"283",1001928936,8,"Kingston","02364","Star Math","High Growth, High Proficiency",55,"At/Above Benchmark","At/Above Benchmark",73,73,0,"Tier 1 ELA Gen Ed"
"284",1007922835,8,"Sandwich","02537","Star Math","High Growth, High Proficiency",69,"At/Above Benchmark","At/Above Benchmark",48,59,0,"Tier 1 Math Gen Ed"
"285",1078924634,8,"Middleborough","02346","Star Math","High Growth, High Proficiency",79,"At/Above Benchmark","At/Above Benchmark",49,64,0,"Tier 1 Math Gen Ed"
"286",1016821732,8,"Plymouth","02360","Star Math","Low Growth, Low Proficiency",14,"On Watch","Intervention",34,20,0,"Tier 1 Math Gen Ed"
"287",1065120535,8,"Plymouth","02360","Star Math","Low Growth, High Proficiency",2,"At/Above Benchmark","At/Above Benchmark",84,52,0,"Gen Ed"
"288",1087539030,8,"Wareham","02576","Star Math","High Growth, High Proficiency",66,"On Watch","At/Above Benchmark",29,41,0,"Tier 1 Math Gen Ed"
"289",1013501834,8,"Plymouth","02360","Star Math","Low Growth, Low Proficiency",29,"Intervention","Intervention",23,19,0,"Tier 1 Math Gen Ed"
"290",1075439430,8,"Plymouth","02360","Star Math","Low Growth, High Proficiency",30,"At/Above Benchmark","At/Above Benchmark",74,67,0,"Gen Ed"
"291",1014628533,8,"Wareham","02558","Star Math","Low Growth, High Proficiency",20,"At/Above Benchmark","At/Above Benchmark",65,54,0,"Tier 1 ELA Gen Ed"
"292",1048021738,8,"Barnstable","02648","Star Math","High Growth, High Proficiency",52,"At/Above Benchmark","At/Above Benchmark",50,54,0,"Gen Ed"
"293",1085719634,8,"Carver","02330","Star Math","Low Growth, High Proficiency",8,"At/Above Benchmark","At/Above Benchmark",88,70,0,"Gen Ed"
"294",1001227432,8,"Plymouth","02360","Star Math","High Growth, Low Proficiency",57,"Intervention","Intervention",14,20,1,"Tier 1 Math Gen Ed"
"295",1091924932,8,"Kingston","02364","Star Math","High Growth, High Proficiency",56,"At/Above Benchmark","At/Above Benchmark",83,82,0,"Gen Ed"
"296",1090112940,8,"Plymouth","02360","Star Math","High Growth, High Proficiency",75,"At/Above Benchmark","At/Above Benchmark",68,77,0,"Gen Ed"
"297",1053539032,8,"Plymouth","02360","Star Math","High Growth, High Proficiency",78,"At/Above Benchmark","At/Above Benchmark",78,85,0,"Gen Ed"
"298",1073101037,8,"Plymouth","02360","Star Math","High Growth, High Proficiency",80,"At/Above Benchmark","At/Above Benchmark",50,65,0,"Tier 1 Math Gen Ed"
"299",1000239243,8,"Plymouth","02360","Star Math","Low Growth, High Proficiency",44,"At/Above Benchmark","At/Above Benchmark",49,49,0,"Tier 1 Math Gen Ed"
"300",1087945222,8,"Kingston","02364","Star Math","High Growth, High Proficiency",76,"On Watch","At/Above Benchmark",26,43,1,"Learning Specialist"
"301",1093041022,8,"Kingston","02364","Star Math","High Growth, Low Proficiency",84,"Urgent Intervention","Intervention",2,13,1,"Learning Specialist"
"302",1052528534,8,"Plymouth","02360","Star Math","High Growth, High Proficiency",96,"At/Above Benchmark","At/Above Benchmark",61,85,0,"Gen Ed"
"303",1003928938,8,"Kingston","02364","Star Math","High Growth, High Proficiency",59,"At/Above Benchmark","At/Above Benchmark",77,78,0,"Gen Ed"
